Type,PIT1_R1,PIT1_R2,PIT1_R3,PIT2_R1,PIT2_R2,PIT2_R3,PIT3_R1,PIT3_R2,PIT3_R3,PIT4_R1,PIT4_R2,PIT4_R3,PIT5_R1,PIT5_R2,PIT5_R3,PIT6_R1,PIT6_R2,PIT6_R3,PIT7_R1,PIT7_R2,PIT7_R3,PIT8_R1,PIT8_R2,PIT8_R3,PIT9_R1,PIT9_R2,PIT9_R3,PIT10_R1,PIT10_R2,PIT10_R3,PIT11_R1,PIT11_R2,PIT11_R3,PIT12_R1,PIT12_R2,PIT12_R3
Ciliate,5057.895317,4986.198347,4301.818176,4536.46281,8212.561983,6648.264453,4275.746556,4041.101928,3324.132231,5396.826446,10102.75482,5996.473829,4145.38843,2752.004897,2346.446281,10428.65014,10656.77686,11015.26171,4119.316804,11080.44077,7495.592287,6178.975207,8636.225895,9353.195592,5970.402204,7137.107438,8636.225895,7117.553719,6061.652893,3454.490358,4614.677686,9125.068871,6126.831956,7378.269972,10591.5978,9043.595041
Tintinnid,2555.019284,2346.446281,3584.84848,2450.732782,3519.669421,3519.669416,1694.655647,2933.057851,2281.267218,1016.793388,2802.699725,2737.520661,1277.509642,984.9280686,1596.887052,1642.512397,1596.887052,2216.088154,1616.440771,1694.655647,1662.066116,1746.798898,1499.118457,1890.192837,1616.440771,1466.528926,1727.245179,1746.798898,1596.887052,1499.118457,912.5068871,2053.140496,2248.677686,1929.300275,2248.677686,2688.636364
Diatom,11680.08815,13198.76033,6648.264453,12853.31129,12269.95868,16294.76582,13218.31405,9842.038567,6974.15978,7430.413223,9059.889807,5735.757576,4484.319559,3099.626569,2835.289256,3858.600551,3715.206612,4301.818182,5944.330579,5279.504132,2900.46832,2815.735537,3975.922865,4301.818182,2685.37741,2346.446281,2965.647383,1825.013774,1368.760331,2085.730028,2137.873278,3226.363636,2867.878788,2007.515152,3030.826446,3617.438017
Dinoflagellate,1616.440771,1026.570248,977.685949,651.7906336,1222.107438,1694.655645,5162.181818,1042.865014,912.5068871,3258.953168,1238.402204,1368.760331,365.0027548,666.2748699,586.6115702,338.9311295,1205.812672,1466.528926,2867.878788,1108.044077,977.6859504,834.292011,1303.581267,1042.865014,730.0055096,521.4325069,945.0964187,625.7190083,554.0220386,554.0220386,625.7190083,651.7906336,945.0964187,1016.793388,716.969697,1222.107438
Rhizaria-Acantharia,182.5013774,146.6528926,130.3581265,286.7878788,97.76859504,130.3581265,391.0743802,456.2534435,195.5371901,182.5013774,456.2534435,0,417.1460055,260.7162534,325.8953168,234.6446281,130.3581267,325.8953168,0,32.58953168,65.17906336,417.1460055,0,65.17906336,104.2865014,32.58953168,0,26.07162534,0,32.58953168,78.21487603,0,32.58953168,156.4297521,32.58953168,0
Rhizaria-other,208.5730028,0,0,260.7162534,48.88429752,260.7162531,104.2865014,0,195.5371901,52.14325069,65.17906336,0,52.14325069,202.7793082,97.76859504,156.4297521,97.76859504,97.76859504,52.14325069,195.5371901,162.9476584,26.07162534,32.58953168,0,78.21487603,32.58953168,423.6639118,26.07162534,0,0,104.2865014,162.9476584,97.76859504,52.14325069,0,195.5371901
Rhizaria-Foraminifera,912.5068871,1417.644628,1108.044076,365.0027548,684.3801653,912.5068857,547.5041322,456.2534435,977.6859504,312.8595041,847.3278237,130.3581267,365.0027548,463.4955617,488.8429752,521.4325069,684.3801653,456.2534435,234.6446281,586.6115702,521.4325069,0,391.0743802,521.4325069,130.3581267,162.9476584,293.3057851,130.3581267,162.9476584,130.3581267,130.3581267,97.76859504,293.3057851,0,456.2534435,684.3801653
Rhizaria-Radiolaria,2789.663912,4252.933884,3650.027543,2581.090909,3519.669421,3584.84848,2398.589532,2150.909091,1759.834711,938.5785124,1108.044077,1368.760331,2163.944904,2375.414754,1694.655647,1355.724518,1499.118457,1531.707989,886.4352617,1727.245179,1010.275482,1225.366391,1108.044077,1336.170799,860.3636364,1042.865014,1042.865014,1590.369146,1140.633609,977.6859504,834.292011,1531.707989,1303.581267,1173.22314,1010.275482,1270.991736
Dictyocha,677.862259,1173.22314,1890.192835,573.5757576,1173.22314,1629.476582,1173.22314,977.6859504,391.0743802,391.0743802,1173.22314,782.1487603,260.7162534,782.1487603,619.2011019,365.0027548,325.8953168,521.4325069,286.7878788,749.5592287,586.6115702,391.0743802,521.4325069,879.9173554,260.7162534,423.6639118,749.5592287,417.1460055,391.0743802,456.2534435,208.5730028,521.4325069,391.0743802,312.8595041,423.6639118,391.0743802
